Flight Number,Airline,Destination,Class,Price ($),Status,Departure Time
FL8980,Kuwait Airways,Kuwait City,First Class,3735.44,Cancelled,22:50
FL3421,Qatar Airways,Paris,Business,916.24,Cancelled,08:01
FL8380,Lufthansa,Dubai,Business,664.13,On Time,21:11
FL9721,Qatar Airways,New York,First Class,3717.6,Cancelled,03:04
FL2055,ITA Airways,Madrid,First Class,1486.61,Delayed,08:33
FL5217,Air Algerie,Paris,Economy,147.29,On Time,10:04
FL4610,Air France,Algiers,Economy,216.69,Cancelled,20:46
FL3477,Air France,Doha,Business,426.9,On Time,18:46
FL9734,Air Algerie,Doha,Business,595.72,On Time,15:04
FL3595,Air Algerie,Algiers,Business,420.26,On Time,14:36
FL3586,Emirates,Paris,First Class,4410.36,Delayed,08:18
FL4292,Air France,Dubai,Economy,143.67,On Time,15:03
FL2283,Air France,Kuwait City,Economy,185.46,Delayed,15:32
FL4911,Air France,Rome,Business,874.65,Delayed,01:09
FL1242,ITA Airways,Berlin,Business,972.13,Delayed,07:07
FL4209,Qatar Airways,Rome,First Class,4192.88,Delayed,01:05
FL1268,Emirates,Madrid,Business,484.22,Cancelled,19:42
FL6781,Air France,Paris,Economy,245.95,Delayed,02:37
FL3406,Emirates,Dubai,Business,731.22,On Time,07:48
FL1921,ITA Airways,Kuwait City,Business,481.9,On Time,18:07
FL4046,Air France,Madrid,Economy,198.59,Delayed,23:31
FL1315,Lufthansa,New York,Economy,188.5,Delayed,01:53
FL8309,Emirates,Kuwait City,Economy,165.08,On Time,15:35
FL5439,Lufthansa,Doha,Economy,281.88,On Time,16:55
FL7318,Lufthansa,Rome,Business,996.12,On Time,22:41
FL8524,Kuwait Airways,Doha,First Class,1904.59,Cancelled,18:45
FL7108,Kuwait Airways,Rome,Economy,61.72,Delayed,14:22
FL7436,ITA Airways,Madrid,First Class,2956.99,Cancelled,17:21
FL3973,Lufthansa,Madrid,Economy,186.38,Delayed,12:00
FL8755,Emirates,Paris,First Class,3132.45,On Time,17:46
FL3879,Kuwait Airways,Kuwait City,Business,650.57,Cancelled,03:13
FL7892,Qatar Airways,Doha,First Class,3733.19,Delayed,12:42
FL8776,Air France,Madrid,First Class,2652.56,Delayed,01:32
FL9382,Qatar Airways,Berlin,First Class,1772.13,Delayed,13:24
FL8866,ITA Airways,Doha,Economy,155.88,On Time,14:19
FL7149,ITA Airways,Paris,Business,800.8,Delayed,18:46
FL6880,Air France,New York,First Class,4223.52,Delayed,02:38
FL4632,Qatar Airways,Algiers,Business,683.25,Delayed,23:23
FL7127,Qatar Airways,Paris,Business,608.5,Cancelled,02:19
FL9082,Air Algerie,Paris,First Class,4071.0,Cancelled,11:54
FL3036,Kuwait Airways,Kuwait City,Economy,109.0,Delayed,06:20
FL3679,Qatar Airways,Doha,First Class,2055.05,Cancelled,19:35
FL4912,Qatar Airways,Berlin,Economy,134.52,Delayed,11:29
FL9786,ITA Airways,Rome,First Class,1334.95,On Time,07:49
FL1937,Air Algerie,Doha,First Class,3484.39,Cancelled,21:48
FL7397,Air France,Doha,First Class,1546.36,Delayed,18:45
FL1897,ITA Airways,Doha,Business,881.52,Delayed,02:45
FL9206,Kuwait Airways,Kuwait City,Business,796.62,Delayed,11:44
FL4678,Air France,Berlin,Economy,299.07,On Time,04:48
FL4174,ITA Airways,Kuwait City,Business,797.01,On Time,00:20
FL6827,Qatar Airways,Berlin,Economy,205.87,Delayed,08:59
FL7546,Air Algerie,Berlin,First Class,1272.89,Cancelled,16:58
FL5827,Emirates,Kuwait City,Economy,282.04,Delayed,16:11
FL9739,ITA Airways,Paris,First Class,2708.33,Delayed,12:22
FL4889,Kuwait Airways,Doha,Economy,210.98,On Time,05:38
FL5492,Qatar Airways,Berlin,First Class,1435.42,Cancelled,19:07
FL2375,ITA Airways,Madrid,First Class,2757.73,Delayed,20:17
FL4046,Emirates,Madrid,Business,584.28,On Time,10:34
FL2455,Qatar Airways,Berlin,First Class,1574.42,On Time,04:08
FL5902,Air Algerie,Algiers,First Class,2948.54,On Time,15:36
FL1676,Qatar Airways,Berlin,Economy,209.91,On Time,16:21
FL5954,Emirates,Algiers,First Class,2520.78,On Time,23:15
FL4949,Emirates,Paris,First Class,3572.22,Cancelled,05:40
FL8060,Air France,Paris,Economy,186.85,Delayed,15:35
FL6727,Air Algerie,Madrid,Business,499.38,Delayed,12:03
FL6924,Lufthansa,Dubai,Economy,144.02,Delayed,15:29
FL9432,Qatar Airways,New York,First Class,4298.14,Cancelled,13:56
FL6721,Air Algerie,Paris,Business,583.58,Delayed,18:06
FL5294,Air France,Madrid,Economy,111.83,Delayed,23:08
FL7019,Emirates,New York,First Class,1750.74,On Time,22:56
FL2904,Emirates,Kuwait City,Business,810.96,Cancelled,20:40
FL9794,ITA Airways,Rome,Business,608.65,On Time,08:37
FL5858,Kuwait Airways,Algiers,Economy,147.69,Delayed,19:50
FL2196,Lufthansa,Doha,Economy,66.93,On Time,14:57
FL2625,Kuwait Airways,New York,Business,448.1,On Time,22:41
FL7706,Air France,Dubai,Economy,228.64,On Time,11:19
FL1600,ITA Airways,Rome,First Class,1244.15,Cancelled,10:46
FL5330,ITA Airways,Madrid,First Class,3659.94,On Time,23:50
FL3525,Qatar Airways,Dubai,Business,588.85,Delayed,02:11
FL4210,Kuwait Airways,Doha,First Class,4589.19,Cancelled,11:14
FL2278,Air France,Paris,First Class,4456.77,Cancelled,15:38
FL1439,Lufthansa,Madrid,Business,590.6,Delayed,18:43
FL4162,Air France,Berlin,First Class,4899.93,Delayed,01:41
FL4023,Qatar Airways,Berlin,First Class,1811.04,On Time,09:54
FL3781,Air France,Dubai,Economy,146.45,On Time,05:14
FL9965,Lufthansa,Rome,First Class,2131.72,Delayed,14:35
FL5383,Air Algerie,Algiers,Economy,181.87,On Time,22:00
FL8046,Lufthansa,Dubai,First Class,2650.65,Delayed,07:33
FL4550,Emirates,New York,First Class,2028.14,Cancelled,01:58
FL8246,Qatar Airways,New York,First Class,4282.07,On Time,06:11
FL2070,Air France,New York,First Class,2895.25,Cancelled,14:49
FL4368,ITA Airways,Dubai,Economy,191.91,Cancelled,23:23
FL3625,ITA Airways,Doha,Economy,256.38,Cancelled,08:56
FL3683,Emirates,New York,First Class,2269.12,Cancelled,08:02
FL6454,ITA Airways,New York,Business,851.66,On Time,02:34
FL6573,ITA Airways,Doha,First Class,4071.31,Cancelled,14:47
FL5523,ITA Airways,Doha,Business,723.01,Delayed,08:34
FL6327,Air France,New York,Economy,130.09,On Time,18:43
FL8978,Qatar Airways,Madrid,Economy,242.7,Cancelled,15:13
FL9555,Lufthansa,Madrid,First Class,4183.11,Cancelled,06:24
FL1521,Lufthansa,Doha,First Class,1608.83,On Time,22:00
FL3898,Lufthansa,Kuwait City,First Class,2876.86,On Time,18:11
FL9865,Emirates,Rome,Economy,91.13,On Time,21:56
FL5765,Qatar Airways,Rome,Business,858.55,On Time,20:46
FL8766,ITA Airways,Doha,Business,700.24,Delayed,03:15
FL1733,Qatar Airways,Algiers,Economy,161.21,On Time,02:34
FL6525,Kuwait Airways,Paris,Business,406.85,Delayed,00:52
FL7839,Lufthansa,New York,Business,817.67,Cancelled,02:25
FL5184,Kuwait Airways,Paris,Economy,179.98,Delayed,18:54
FL6889,Emirates,Madrid,Economy,294.73,Delayed,02:42
FL1388,Lufthansa,Algiers,First Class,2471.01,Cancelled,11:11
FL8450,Kuwait Airways,Kuwait City,First Class,3046.43,Delayed,08:42
FL5140,ITA Airways,Madrid,Economy,212.97,Cancelled,06:12
FL6097,Air France,Madrid,Business,400.4,Cancelled,17:40
FL5685,ITA Airways,Berlin,Business,922.73,On Time,18:04
FL4094,Air Algerie,Doha,Economy,140.74,Delayed,07:58
FL8166,ITA Airways,Berlin,Economy,236.75,On Time,16:38
FL6065,Lufthansa,Doha,Business,682.85,Delayed,05:58
FL1898,Lufthansa,Rome,Economy,139.42,Cancelled,04:19
FL9774,ITA Airways,Dubai,Business,699.89,Cancelled,20:28
FL6458,Air Algerie,Berlin,First Class,1622.25,Delayed,23:20
FL9396,Air Algerie,Algiers,First Class,2140.74,On Time,05:41
FL2291,ITA Airways,Algiers,Economy,150.23,On Time,13:30
FL1257,Lufthansa,Doha,Business,850.57,Cancelled,10:58
FL5020,Lufthansa,Paris,First Class,3408.95,On Time,14:05
FL9396,Kuwait Airways,Berlin,Economy,100.79,On Time,20:50
FL1838,Emirates,Dubai,First Class,4314.17,Delayed,05:07
FL6708,Air France,Algiers,First Class,2505.59,Delayed,16:55
FL9373,Air Algerie,Dubai,First Class,2151.05,Delayed,11:03
FL7669,Air Algerie,Dubai,Business,881.17,Delayed,11:49
FL8979,Kuwait Airways,Doha,First Class,3424.37,Cancelled,07:41
FL6393,Qatar Airways,Kuwait City,Business,807.11,On Time,11:15
FL7536,Air France,New York,Economy,196.51,Delayed,03:49
FL2776,Air France,Doha,First Class,4550.93,On Time,06:16
FL1894,Kuwait Airways,Madrid,Business,425.25,Delayed,16:12
FL6169,ITA Airways,Algiers,First Class,2621.42,On Time,16:02
FL8569,Emirates,Kuwait City,Business,820.81,On Time,18:30
FL4930,Air France,New York,Economy,190.42,Cancelled,20:47
FL1313,ITA Airways,Rome,Economy,248.74,Delayed,07:57
FL2622,Qatar Airways,Rome,Economy,256.64,On Time,07:37
FL7164,Lufthansa,Paris,First Class,4715.96,Cancelled,12:26
FL3665,ITA Airways,New York,First Class,2261.44,Cancelled,12:00
FL3001,Emirates,Doha,Business,786.74,Cancelled,12:47
FL5128,Emirates,Madrid,Economy,121.83,On Time,15:41
FL8504,Air France,Doha,Economy,224.33,Cancelled,09:45
FL7416,Qatar Airways,Berlin,Economy,234.25,Delayed,14:28
FL3880,ITA Airways,Algiers,Business,948.86,Delayed,02:12
FL9967,Air France,Rome,First Class,1658.53,On Time,20:39
FL8470,Air Algerie,Doha,Economy,235.56,Cancelled,16:27
FL1408,Air Algerie,Madrid,Economy,76.2,On Time,08:27
FL8763,Air Algerie,Doha,Economy,84.88,Cancelled,12:53
FL5244,Emirates,Berlin,First Class,2076.57,On Time,16:12
FL9360,Lufthansa,Doha,Business,814.18,Cancelled,23:53
FL9788,Kuwait Airways,Rome,Economy,234.43,Cancelled,11:20
FL6059,Lufthansa,Dubai,Business,910.45,Cancelled,12:22
FL7484,Air France,New York,Business,457.36,Delayed,07:24
FL1714,Air France,Rome,Economy,135.9,Delayed,13:30
FL7929,Air France,Kuwait City,First Class,3100.03,Delayed,10:07
FL2750,Air Algerie,Algiers,Economy,226.1,On Time,13:23
FL3553,Air France,Rome,Economy,77.25,On Time,17:28
FL7478,Emirates,New York,Business,782.75,Cancelled,05:12
FL6918,Kuwait Airways,Madrid,First Class,3557.43,On Time,11:08
FL9849,ITA Airways,Berlin,Economy,160.89,Delayed,01:05
FL1669,Lufthansa,Berlin,Business,400.07,Cancelled,04:53
FL8822,Kuwait Airways,Madrid,First Class,2222.58,On Time,20:42
FL5795,Qatar Airways,Kuwait City,Economy,119.79,Delayed,11:10
FL1775,Kuwait Airways,New York,First Class,1628.9,On Time,06:12
FL4322,Kuwait Airways,New York,Economy,258.38,Delayed,09:05
FL2759,Qatar Airways,Paris,Business,751.92,Cancelled,07:18
FL8035,ITA Airways,Rome,Economy,140.04,Delayed,22:59
FL1852,Air France,Madrid,First Class,2882.53,Delayed,13:21
FL3428,ITA Airways,Kuwait City,Economy,171.47,Delayed,16:03
FL7565,Air France,Madrid,Economy,155.24,Cancelled,04:41
FL9026,Emirates,Algiers,First Class,3538.33,On Time,05:42
FL4145,Kuwait Airways,Paris,Economy,78.29,On Time,14:54
FL1724,Emirates,Dubai,First Class,2033.61,Delayed,12:49
FL4423,Lufthansa,Rome,Economy,283.8,Cancelled,02:44
FL2693,Qatar Airways,Paris,Economy,78.85,On Time,00:29
FL6090,Air Algerie,Paris,Economy,165.79,Cancelled,07:18
FL4589,Kuwait Airways,Madrid,First Class,4684.06,On Time,16:21
FL2107,Kuwait Airways,New York,First Class,2266.21,Cancelled,12:05
FL1600,Air France,Kuwait City,First Class,3567.55,On Time,20:22
FL1829,Air Algerie,Madrid,Business,995.36,Cancelled,21:03
FL2933,Qatar Airways,Dubai,First Class,2756.65,On Time,18:45
FL9405,Qatar Airways,New York,Economy,80.43,Cancelled,15:59
FL3338,Lufthansa,Dubai,Business,944.56,Delayed,12:56
FL8837,Qatar Airways,Berlin,First Class,4861.34,On Time,04:03
FL3731,Lufthansa,Kuwait City,Business,447.56,Cancelled,15:10
FL3365,Air France,Dubai,First Class,2277.3,Delayed,06:49
FL5000,ITA Airways,Algiers,Business,628.46,Cancelled,13:07
FL2068,Emirates,Rome,Business,513.49,Cancelled,18:13
FL3873,Qatar Airways,Rome,Economy,87.24,Delayed,03:43
FL6158,Air Algerie,Doha,Economy,258.69,On Time,12:24
FL5664,Emirates,Paris,First Class,1823.85,Cancelled,05:30
FL6891,Qatar Airways,Paris,Business,770.02,On Time,06:12
FL2688,Qatar Airways,Dubai,Economy,193.53,On Time,16:20
FL5004,Lufthansa,Rome,Business,735.67,On Time,13:06
FL3911,Lufthansa,Algiers,First Class,1691.12,On Time,22:05
FL6638,Qatar Airways,New York,Business,635.91,Delayed,03:01
FL7872,Lufthansa,Dubai,Economy,90.52,On Time,23:18
FL4085,Air France,Doha,Economy,288.87,Cancelled,14:38
FL7056,Air Algerie,Algiers,Economy,142.96,Cancelled,13:01
FL5185,Air Algerie,Rome,Economy,289.62,On Time,08:29
FL4411,ITA Airways,Algiers,Business,632.47,Cancelled,15:57
FL9246,Qatar Airways,Berlin,Business,942.75,Cancelled,23:34
FL5230,Kuwait Airways,Rome,Economy,84.09,On Time,02:02
FL5913,ITA Airways,Algiers,First Class,2641.49,On Time,00:26
FL1180,Kuwait Airways,Doha,Business,657.91,Cancelled,11:49
FL1536,Air Algerie,Paris,Business,841.52,Cancelled,00:39
FL5615,Emirates,Kuwait City,First Class,2133.62,Delayed,02:04
FL4460,Emirates,Doha,Economy,273.75,Delayed,23:59
FL7417,Air Algerie,Doha,Business,546.05,Delayed,01:13
FL8928,Lufthansa,Madrid,Business,770.46,On Time,10:36
FL6507,Emirates,New York,First Class,3943.27,On Time,20:45
FL7547,Air France,Rome,Business,640.21,Delayed,17:24
FL4598,ITA Airways,Dubai,Economy,104.84,On Time,10:56
FL2895,Air France,New York,Economy,186.96,On Time,17:12
FL6505,Kuwait Airways,Madrid,First Class,4651.8,Delayed,20:37
FL7825,Kuwait Airways,Rome,Economy,277.55,On Time,07:11
FL4051,Emirates,Doha,Business,885.45,Cancelled,03:39
FL5812,Emirates,New York,First Class,1972.35,Cancelled,11:13
FL5096,Kuwait Airways,Rome,Business,699.42,Cancelled,09:55
FL5688,Air France,Kuwait City,Economy,190.84,Cancelled,22:13
FL8790,Air Algerie,Madrid,First Class,4228.4,On Time,16:32
FL7346,Emirates,Rome,Economy,53.26,Delayed,13:01
FL9958,Kuwait Airways,Madrid,Economy,189.94,Delayed,18:59
FL6400,Qatar Airways,Doha,Business,808.99,Cancelled,06:36
FL9790,Qatar Airways,Kuwait City,Economy,194.2,Delayed,03:24
FL4126,Air Algerie,Rome,Business,713.42,Cancelled,20:16
FL4967,Qatar Airways,Kuwait City,Business,838.08,Delayed,17:03
FL2376,Lufthansa,Doha,First Class,4331.64,On Time,20:49
FL2331,Qatar Airways,Doha,First Class,2323.81,Cancelled,18:41
FL4520,ITA Airways,Doha,Business,469.8,On Time,19:46
FL7913,Emirates,Rome,Economy,185.42,On Time,02:44
FL2079,Qatar Airways,Doha,First Class,1304.71,Delayed,18:18
FL7279,ITA Airways,Paris,First Class,2334.84,Delayed,08:45
FL8606,Air France,Algiers,Business,874.21,On Time,04:27
FL2615,Qatar Airways,Dubai,Economy,65.8,Cancelled,13:29
FL4526,ITA Airways,Paris,Business,462.99,On Time,03:11
FL1717,Qatar Airways,Doha,First Class,4426.8,Cancelled,06:52
FL5663,Kuwait Airways,Doha,Business,403.96,On Time,07:06
FL1043,Emirates,Kuwait City,Business,705.63,On Time,16:14
FL1919,Air France,Rome,First Class,3077.45,Delayed,19:51
FL3015,Lufthansa,New York,First Class,1616.72,On Time,18:14
FL1056,Air Algerie,Madrid,First Class,4930.05,Cancelled,12:16
FL6670,Air Algerie,Algiers,Business,918.93,Delayed,10:00
FL1523,ITA Airways,Berlin,Economy,132.76,Cancelled,16:09
FL8625,Emirates,Algiers,First Class,3176.89,Cancelled,23:48
FL1696,Air Algerie,Berlin,Economy,170.15,Cancelled,04:22
FL4802,Kuwait Airways,Rome,Business,706.96,Cancelled,10:53
FL6809,Lufthansa,Algiers,Business,667.94,Cancelled,04:46
FL9730,Air Algerie,Dubai,Economy,67.89,Delayed,14:13
FL5796,Lufthansa,Kuwait City,First Class,2752.81,Cancelled,01:57
FL8454,Emirates,Algiers,First Class,4077.8,Cancelled,11:37
FL5455,Air France,Dubai,Economy,86.0,Cancelled,16:13
FL2411,Kuwait Airways,Doha,Business,414.09,On Time,10:23
FL7745,Kuwait Airways,Kuwait City,First Class,1855.63,Delayed,09:24
FL9735,Qatar Airways,Rome,First Class,3817.76,Cancelled,15:31
FL3699,Lufthansa,Kuwait City,Economy,91.38,Cancelled,01:59
FL5552,ITA Airways,Paris,First Class,1954.51,Cancelled,13:01
FL9146,Kuwait Airways,Berlin,Economy,204.29,On Time,03:45
FL8612,ITA Airways,Algiers,Business,974.69,Delayed,02:39
FL7143,Air France,Algiers,Business,785.96,On Time,07:53
FL7661,Air Algerie,Kuwait City,Economy,58.37,Delayed,02:33
FL2117,Air France,Kuwait City,First Class,3255.57,Cancelled,19:27
FL1262,Lufthansa,Madrid,First Class,1263.83,Cancelled,16:50
FL4741,Air France,Madrid,Business,572.01,On Time,12:23
FL4650,Qatar Airways,Berlin,Economy,171.32,Delayed,07:52
FL4073,Emirates,Berlin,Economy,176.41,Delayed,21:11
FL2602,Air France,Rome,First Class,4654.83,On Time,00:55
FL2716,Qatar Airways,Paris,First Class,2336.55,Cancelled,12:40
FL9408,Emirates,Doha,Business,984.23,On Time,16:51
FL2842,Kuwait Airways,Berlin,Economy,260.68,Cancelled,06:07
FL9662,Emirates,Doha,Economy,115.74,Cancelled,13:50
FL2728,Air Algerie,Dubai,Economy,74.74,On Time,10:50
FL5473,Lufthansa,Algiers,Economy,236.07,Cancelled,13:41
FL1106,Kuwait Airways,Kuwait City,Business,401.4,Delayed,17:52
FL9056,Lufthansa,Paris,First Class,3214.81,Delayed,04:36
FL3622,ITA Airways,Rome,Economy,106.05,Delayed,21:59
FL1464,Qatar Airways,New York,Business,419.12,Delayed,08:34
FL3119,Kuwait Airways,Doha,First Class,1871.04,Cancelled,09:21
FL3029,Air France,Paris,First Class,1742.43,On Time,01:12
FL1020,Air France,Dubai,First Class,1963.75,Delayed,04:03
FL4625,Air France,Paris,First Class,2385.83,Delayed,00:04
FL2668,Lufthansa,Kuwait City,Business,737.47,Delayed,17:35
FL9195,Lufthansa,Paris,Economy,172.17,Cancelled,07:21
FL4452,Kuwait Airways,Rome,Business,812.02,Delayed,22:27
FL9821,Emirates,New York,Business,792.39,On Time,17:22
FL2091,ITA Airways,New York,Business,556.59,Delayed,16:39
FL5199,Air Algerie,Kuwait City,Business,656.04,Delayed,21:43
FL8224,Air France,Dubai,Economy,123.59,On Time,02:12
FL3800,Lufthansa,Paris,Business,870.42,Delayed,02:53
FL5685,Lufthansa,Paris,Business,937.31,Delayed,04:25
FL5533,Air France,Berlin,First Class,3651.6,On Time,09:25
FL4485,Emirates,Dubai,Economy,110.3,Cancelled,13:20
FL6479,Air Algerie,Rome,Economy,146.91,Delayed,20:20
FL2837,Kuwait Airways,Dubai,First Class,1230.77,Cancelled,15:54
FL7294,Qatar Airways,Madrid,Business,752.09,On Time,20:45
FL1866,Emirates,Kuwait City,Business,872.21,Cancelled,13:47
FL1006,ITA Airways,Kuwait City,Business,730.17,On Time,10:37
FL9193,Air Algerie,Madrid,Economy,156.5,Cancelled,19:59
FL7368,Lufthansa,Doha,First Class,2529.83,Cancelled,10:14
FL5687,Lufthansa,Madrid,Business,501.28,Delayed,01:57
FL2237,Kuwait Airways,Rome,Economy,264.47,On Time,11:07
FL2650,Kuwait Airways,Berlin,First Class,1493.36,On Time,08:37
FL2156,Qatar Airways,Rome,First Class,2663.44,Delayed,07:58
FL9853,Lufthansa,Berlin,First Class,1859.9,Delayed,04:34
FL8612,Qatar Airways,Algiers,Business,903.05,Cancelled,03:23
FL7916,Air France,Rome,Business,431.61,Delayed,07:57
FL4808,Qatar Airways,Madrid,Economy,95.07,Delayed,03:05
FL4188,Lufthansa,Madrid,Economy,147.16,Cancelled,11:26
FL4621,Emirates,Madrid,Economy,146.72,Cancelled,07:24
FL1309,Lufthansa,Madrid,First Class,4049.27,Delayed,08:01
FL7470,Qatar Airways,Doha,Business,506.07,On Time,17:47
FL9472,Lufthansa,Algiers,First Class,4326.79,On Time,12:33
FL8107,Air France,Kuwait City,First Class,2682.18,Delayed,18:39
FL8060,Air France,Rome,Business,880.76,Delayed,08:54
FL6477,Lufthansa,Kuwait City,Business,498.52,Cancelled,02:40
FL1061,Qatar Airways,Kuwait City,First Class,3368.18,On Time,20:28
FL1802,Air Algerie,Madrid,Economy,251.76,Cancelled,10:14
FL4749,Air France,Algiers,Business,991.89,Delayed,21:33
FL9898,Emirates,New York,Business,423.97,Cancelled,21:16
FL5729,ITA Airways,Dubai,Business,666.03,Delayed,19:17
FL1974,Kuwait Airways,Paris,Business,679.87,Cancelled,07:57
FL9313,Emirates,Kuwait City,First Class,2056.1,Cancelled,09:11
FL3916,Qatar Airways,New York,Business,837.2,On Time,21:33
FL5297,Air France,Algiers,Economy,62.96,On Time,00:58
FL3695,Qatar Airways,Dubai,Business,675.68,Delayed,17:37
FL3784,Emirates,Berlin,First Class,4299.34,Delayed,03:59
FL1672,Lufthansa,Berlin,First Class,1534.97,Cancelled,13:35
FL4257,Emirates,Algiers,Business,935.38,On Time,09:25
FL8502,Lufthansa,New York,Economy,286.67,Cancelled,06:49
FL9386,Emirates,Berlin,First Class,3057.89,On Time,14:37
FL4115,Qatar Airways,Rome,First Class,3734.41,Cancelled,21:57
FL5351,Emirates,New York,Business,828.27,Delayed,03:28
FL1801,Emirates,Dubai,Economy,76.82,Cancelled,09:06
FL2546,ITA Airways,Dubai,First Class,2939.9,Cancelled,21:21
FL9866,Qatar Airways,Madrid,Business,510.59,Delayed,01:15
FL2634,Lufthansa,Kuwait City,Business,797.66,Delayed,12:09
FL5289,Air France,Algiers,Economy,206.08,Delayed,19:41
FL8052,Lufthansa,New York,First Class,4628.56,On Time,02:24
